fred_series_id,description,category,frequency,datasource,num_revisions,file_type,filename,release_delay
USEPUINDXM,Econ_Policy_Uncertainty_M,E,monthly,ALFRED,1,latest,E_USEPUINDXM_Econ_Policy_Uncertainty_M_latest.csv,M+1d (policyuncertainty.com)
VXVCLS,3M_VIX,E,daily,ALFRED,1,latest,E_VXVCLS_3M_VIX_latest.csv,T+1
AAA10Y,Aaa_10Y_Spread,F,daily,ALFRED,1,latest,F_AAA10Y_Aaa_10Y_Spread_latest.csv,T+1
AAA,Moodys_Aaa_Yield,F,monthly,ALFRED,1,latest,F_AAA_Moodys_Aaa_Yield_latest.csv,M+1d (Moody's monthly avg)
BAA10Y,Baa_10Y_Spread,F,daily,ALFRED,1,latest,F_BAA10Y_Baa_10Y_Spread_latest.csv,T+1
BAA,Moodys_Baa_Yield,F,monthly,ALFRED,1,latest,F_BAA_Moodys_Baa_Yield_latest.csv,M+1d (Moody's monthly avg)
BAMLC0A0CM,Corporate_Master_OAS,F,daily,ALFRED,1,latest,F_BAMLC0A0CM_Corporate_Master_OAS_latest.csv,T+1
BAMLC0A4CBBBEY,BBB_Effective_Yield,F,daily,ALFRED,1,latest,F_BAMLC0A4CBBBEY_BBB_Effective_Yield_latest.csv,T+1
BAMLH0A0HYM2,High_Yield_OAS,F,daily,ALFRED,1,latest,F_BAMLH0A0HYM2_High_Yield_OAS_latest.csv,T+1
DFII10,10Y_TIPS_Real_Yield,F,daily,ALFRED,1,latest,F_DFII10_10Y_TIPS_Real_Yield_latest.csv,T+1
DFII5,5Y_TIPS_Real_Yield,F,daily,ALFRED,1,latest,F_DFII5_5Y_TIPS_Real_Yield_latest.csv,T+1
MORTGAGE30US,30Y_Mortgage_Rate,F,weekly,ALFRED,1,latest,F_MORTGAGE30US_30Y_Mortgage_Rate_latest.csv,"W+0 (Thu 12pm ET, Freddie Mac)"
T5YIFR,5Y5Y_Forward_Inflation,F,daily,ALFRED,1,latest,F_T5YIFR_5Y5Y_Forward_Inflation_latest.csv,T+1
TEDRATE,TED_Spread,F,daily,ALFRED,1,latest,F_TEDRATE_TED_Spread_latest.csv,T+1
DEXCHUS,FX_Yuan_USD,G,daily,ALFRED,1,latest,G_DEXCHUS_FX_Yuan_USD_latest.csv,T+1
